date,runup,drawdown,z
2019-04-30,,,
2019-05-06,,,
2019-05-07,,,
2019-05-08,,,
2019-05-09,,,
2019-05-10,,,
2019-05-13,,,
2019-05-14,,,
2019-05-15,,,
2019-05-16,,,
2019-05-17,,,
2019-05-20,,,
2019-05-21,,,
2019-05-22,,,
2019-05-23,,,
2019-05-24,,,
2019-05-27,,,
2019-05-28,,,
2019-05-29,,,
2019-05-30,,,
2019-05-31,,,
2019-06-03,,,
2019-06-04,,,
2019-06-05,,,
2019-06-06,,,
2019-06-10,,,
2019-06-11,,,
2019-06-12,,,
2019-06-13,,,
2019-06-14,,,
2019-06-17,,,
2019-06-18,,,
2019-06-19,,,
2019-06-20,,,
2019-06-21,,,
2019-06-24,,,
2019-06-25,,,
2019-06-26,,,
2019-06-27,,,
2019-06-28,0.0484130878104469,0.047007564598175025,0.5073648794930314
2019-07-01,0.06898868547443793,0.0,1.0
2019-07-02,0.07074453018534357,0.0,1.0
2019-07-03,0.06523021437366174,0.0055143158116818455,0.9220531142515911
2019-07-04,0.0660549131039372,0.004689617081406335,0.933710534664376
2019-07-05,0.06567614227398963,0.005068387911353878,0.9283564694249122
2019-07-08,0.036626236502783974,0.03411829368255951,0.5177253479078446
2019-07-09,0.03839006606156652,0.032354464123776974,0.542657728604437
2019-07-10,0.032560044815458364,0.03818448536988518,0.4602482302187084
2019-07-11,0.034276526105208725,0.036468004080134966,0.4845113256870547
2019-07-12,0.04018438478992721,0.030560145395416308,0.568021084946754
2019-07-15,0.045343039356025086,0.025401490829318522,0.6409405679454065
2019-07-16,0.0484130878104469,0.022331442374896513,0.6843368340083619
2019-07-17,0.047107497265901056,0.023637032919442254,0.6658818306162231
2019-07-18,0.03462131172530467,0.036123218460038735,0.48938499746341363
2019-07-19,0.04091937000310252,0.02982516018224102,0.5784103717403719
2019-07-22,0.020746432633022546,0.04999809755232097,0.29325846929323
2019-07-23,0.02890048994346772,0.04184404024187571,0.40851907373971375
2019-07-24,0.037381450656433855,0.033363079528909684,0.5284005782284258
2019-07-25,0.038931451884823214,0.03181307830052046,0.5503104166898368
2019-07-26,0.03993926962466188,0.030805260560681724,0.5645562917730174
2019-07-29,0.03768536677486294,0.033059163410480694,0.5326965445403486
2019-07-30,0.042290965389414965,0.028453564795928626,0.5977983778903736
2019-07-31,0.03500358529044666,0.0357409448948969,0.49478857515543295
2019-08-01,0.02958825610847833,0.04115627407686513,0.41824090188966007
2019-08-02,0.002203634921762006,0.05906883224133208,0.03596452083276499
2019-08-05,0.0,0.07426856508207058,0.0
2019-08-06,0.0,0.10041675041708119,0.0
2019-08-07,0.0,0.10295399161379125,0.0
2019-08-08,0.006665025157733923,0.0962889664560575,0.06473789945645095
2019-08-09,0.0,0.10325774410874429,0.0
2019-08-12,0.012000823064892103,0.0912569210438523,0.11622201480843519
2019-08-13,0.005093287418948899,0.09816445668979541,0.049325960613520486
2019-08-14,0.008673903748570924,0.09458384036017328,0.08400245253698496
2019-08-15,0.009573767527943833,0.09368397658080062,0.09271718659533519
2019-08-16,0.010414318894554214,0.0928434252141901,0.10085750937563126
2019-08-19,0.0318540985690649,0.07140364553967943,0.3084911339484449
2019-08-20,0.0320934657184584,0.07116427839028582,0.3108092859811046
2019-08-21,0.033252114949053405,0.07000562915969102,0.32203022868710374
2019-08-22,0.03511442296322039,0.06814332114552382,0.34006575745292483
2019-08-23,0.034783000197151845,0.06847474391159247,0.33685609246431586
2019-08-26,0.025948832612941716,0.07730891149580255,0.2513015642256731
2019-08-27,0.042352886820469345,0.05621524020686861,0.42968135945935887
2019-08-28,0.04190496729679655,0.05666315973054142,0.4251370961444176
2019-08-29,0.03987934764754006,0.05831000854985039,0.4061473584506497
2019-08-30,0.029632648649721868,0.05129365308412612,0.3661683286501625
2019-09-02,0.046171332858829246,0.03475496887501868,0.5705355597575491
2019-09-03,0.04816078628234127,0.03276551545150652,0.5951190805769616
2019-09-04,0.05837369069883471,0.02255261103501312,0.7213191440628952
2019-09-05,0.06566086834610917,0.015265433387738747,0.8113662300058636
2019-09-06,0.07023838151051169,0.010687920223336058,0.8679302032300112
2019-09-09,0.08260749321815035,0.0,1.0
2019-09-10,0.08426624042884504,0.0,1.0
2019-09-11,0.0839424117291314,0.0003238286997136171,0.9961570766885338
2019-09-12,0.09026861740659722,0.0,1.0
2019-09-16,0.09160758971689043,0.0,1.0
2019-09-17,0.07105089021011163,0.020556699506778818,0.7756004762235479
2019-09-18,0.07017179079805459,0.02143579891883603,0.7660041161973319
2019-09-19,0.07649644671118414,0.015111143005706418,0.8350448576105236
2019-09-20,0.07806055849998304,0.01354703121690747,0.8521188991133376
2019-09-23,0.06849177927944418,0.02311581043744616,0.7476648986302918
2019-09-24,0.07021924670234332,0.021388343014547253,0.766522150832185
2019-09-25,0.05772830720204676,0.033879282514843796,0.6301694802849163
2019-09-26,0.04436722372589822,0.04724036599099234,0.4843182083822233
2019-09-27,0.04945884492884587,0.04214874478804451,0.5398989874277499
2019-09-30,0.04187977078367765,0.04972781893321276,0.4571648584260912
2019-10-08,0.04487920262973096,0.046728387087159554,0.4899070346510403
2019-10-09,0.052962997404933994,0.03864459231195641,0.5781507576895542
2019-10-10,0.0601967972937094,0.031410792423181066,0.6571158293733648
2019-10-11,0.0672857637864922,0.024321825930398087,0.7344998814447171
2019-10-14,0.07639473467772347,0.010119567620218149,0.8830301192816887
2019-10-15,0.07096114713312794,0.015553155164813563,0.820224462872613
2019-10-16,0.06120468209137718,0.021729003876942314,0.7379954402937939
2019-10-17,0.05826224862491449,0.023771573564032197,0.7102222847878568
2019-10-18,0.04563077873605485,0.035562492086281455,0.562001977182348
2019-10-21,0.03132986182989328,0.034328895274055665,0.4771619691230645
2019-10-22,0.037138305211488414,0.028520451892460403,0.5656260771536118
2019-10-23,0.03517990022984442,0.030478856874104322,0.5357990583670169
2019-10-24,0.03872582415163844,0.02693293295231037,0.5898044047700899
2019-10-25,0.043344617495587864,0.02231413960836076,0.660149832366857
2019-10-28,0.0516270976322371,0.01403165947171168,0.7862941656130161
2019-10-29,0.03674841640192984,0.02522652466523876,0.5929560523841695
2019-10-30,0.026744661230310583,0.03523027983685819,0.4315399219391685
2019-10-31,0.01660689240721052,0.04536804865995814,0.2679614070017737
2019-11-01,0.024653300998935257,0.0373216400682334,0.39779466627029014
2019-11-04,0.013142382752845292,0.03658543618036756,0.2642863297603344
2019-11-05,0.01564003425760115,0.03408778467561155,0.3145127735967389
2019-11-06,0.010657953887291072,0.03906986504592167,0.21432578616820705
2019-11-07,0.013316442558368806,0.03641137637484394,0.2677865799071851
2019-11-08,0.007016267664604178,0.04271155126860868,0.14109341240216877
2019-11-11,0.0,0.0662877906219246,0.0
2019-11-12,0.0032002712853628247,0.06308751933656166,0.0482784424603276
2019-11-13,0.0,0.06879264031613255,0.0
2019-11-14,0.0010339607671172116,0.0677586795490151,0.015030107324936343
2019-11-15,0.0,0.0779952359168054,0.0
2019-11-18,0.007286663825841342,0.060589004470745764,0.10735310618234793
2019-11-19,0.018582090175137216,0.04929357812145011,0.27376658884508537
2019-11-20,0.011871544345435723,0.05600412395115154,0.17490132536982497
2019-11-21,0.012906748578700215,0.05496891971788702,0.19015280294999562
2019-11-22,0.011324709707649807,0.05655095858893741,0.16684490910889807
2019-11-25,0.022146364104488395,0.0457293041920989,0.32627839489871935
2019-11-26,0.02030430558535641,0.04757136271123096,0.2991396783989715
2019-11-27,0.017024141418719958,0.05085152687786742,0.2508136103254528
2019-11-28,0.012574863938753664,0.055300804357833674,0.18526320630548995
2019-11-29,0.01242767983437121,0.055447988462216186,0.18309476939612013
2019-12-02,0.012676440332487183,0.055199227964100206,0.18675971302553673
2019-12-03,0.01740629424947049,0.05046937404711685,0.2564437991742859
2019-12-04,0.0166075877451727,0.051268080551414665,0.24467660005356726
2019-12-05,0.022178053020737956,0.045697615275849174,0.32674526199623577
2019-12-06,0.025401900239476184,0.04247376805711128,0.3742416226162343
2019-12-09,0.02740484102638455,0.03655873541870898,0.4284444765203041
2019-12-10,0.02817528682802816,0.035788289617065434,0.4404895472380888
2019-12-11,0.03029685075249301,0.033666725692600596,0.47365786024331913
2019-12-12,0.025652191292956632,0.03831138515213705,0.40104373017628975
2019-12-13,0.037827861592074095,0.02613571485301949,0.5913969120307959
2019-12-16,0.04739896898484976,0.016564607460243956,0.7410306242887622
2019-12-17,0.06064158352956061,0.0033219929155331065,0.9480643031525182
2019-12-18,0.06210416346088212,0.0018594129842115876,0.9709301279329228
2019-12-19,0.0702168063632224,0.0,1.0
2019-12-20,0.06630326828315651,0.003913538080065873,0.9442649376586333
2019-12-23,0.04855701809510875,0.021659788268113492,0.6915298574522134
2019-12-24,0.059207398263183046,0.011009408100039237,0.8432083617832316
2019-12-25,0.05740106230252732,0.012815744060695048,0.8174832390638663
2019-12-26,0.06616150963422011,0.004055296729002171,0.9422460670167103
2019-12-27,0.0644709870818272,0.005745819281395222,0.9181703130775722
2019-12-30,0.07159533793632744,0.0,1.0
2019-12-31,0.07613548458738875,0.0,1.0
2020-01-02,0.09078662865379085,0.0,1.0
2020-01-03,0.09488271549631402,0.0,1.0
2020-01-06,0.09904719353306576,0.0,1.0
2020-01-07,0.10889838239007046,0.0,1.0
2020-01-08,0.09645718454878288,0.012441197841287572,0.8857540620142216
2020-01-09,0.10559141324670111,0.0033069691433693866,0.9696325228089805
2020-01-10,0.10112843751936447,0.007769944870706027,0.9286495841336345
2020-01-13,0.09842353845786453,0.0031881801063646273,0.9686238934700296
2020-01-14,0.09487434674733558,0.0026993259350851476,0.972335509560342
2020-01-15,0.08514203626944886,0.012431636412971863,0.8725923082404216
2020-01-16,0.0785243042888492,0.019049368393571443,0.8047693822536263
2020-01-17,0.07628216002358398,0.021291512658836637,0.7817903941349476
2020-01-20,0.08013039312023593,0.016340309435463433,0.8306189443781751
2020-01-21,0.0676257443914661,0.028844958164233273,0.7009977392091756
2020-01-22,0.06580502518728398,0.03066567736841536,0.6821244527507209
2020-01-23,0.037883157313017134,0.058587545242682205,0.39269079948023095
2020-02-03,0.0,0.14461273910803613,0.0
2020-02-04,0.0,0.14480414675233355,0.0
2020-02-05,0.0187474665206632,0.12605668023167033,0.12946774620155058
2020-02-06,0.037572925088768104,0.10723122166356551,0.2594740960908469
2020-02-07,0.04204351972578386,0.1027606270265497,0.2903474843002472
2020-02-10,0.052389865957843625,0.09241428079448998,0.3617981054606734
2020-02-11,0.04922181890127962,0.09558232785105379,0.3399199539876882
2020-02-12,0.058194720682566856,0.08660942606976646,0.4018857331627426
2020-02-13,0.04752194292284445,0.09728220382948911,0.3281808151815143
2020-02-14,0.04925059192369575,0.09555355482863771,0.34011865701561544
2020-02-17,0.07570251626359957,0.06910163048873409,0.5227924611377164
2020-02-18,0.08238119348869076,0.06242295326364263,0.5689146018006785
2020-02-19,0.08162781912502282,0.06317632762731075,0.5637118891673409
2020-02-20,0.09746018775563584,0.04734395899669766,0.6730483203794388
2020-02-21,0.10096891126558621,0.043835235486747365,0.6972791424148843
2020-02-24,0.1012041594952899,0.04359998725704353,0.6989037383603729
2020-02-25,0.09694367455859165,0.04786047219374174,0.6694813424397288
2020-02-26,0.0983584983071688,0.046445648445164724,0.6792519448727994
2020-02-27,0.09865750235203778,0.04614664440029573,0.6813168308002749
