date,SMB,QMJ
2015-04-27,,
2015-04-28,,
2015-04-29,,
2015-04-30,,
2015-05-04,,
2015-05-05,,
2015-05-06,,
2015-05-07,,
2015-05-08,,
2015-05-11,,
2015-05-12,,
2015-05-13,,
2015-05-14,,
2015-05-15,,
2015-05-18,,
2015-05-19,,
2015-05-20,,
2015-05-21,,
2015-05-22,,
2015-05-25,,
2015-05-26,0.101344,-0.027164
2015-05-27,0.13567400000000002,-0.040001
2015-05-28,0.171544,-0.035607
2015-05-29,0.16115500000000002,-0.024519
2015-06-01,0.166911,-0.021582999999999998
2015-06-02,0.171014,-0.021645
2015-06-03,0.185592,-0.027777
2015-06-04,0.19715300000000002,-0.027964000000000003
2015-06-05,0.186398,-0.036798
2015-06-08,0.174848,-0.037239
2015-06-09,0.138594,-0.024034
2015-06-10,0.138226,-0.018781000000000003
2015-06-11,0.143126,-0.019113000000000005
2015-06-12,0.149795,-0.019254
2015-06-15,0.15129099999999998,-0.019807000000000005
2015-06-16,0.13448,-0.023462000000000004
2015-06-17,0.129477,-0.018948000000000003
2015-06-18,0.118864,-0.023659
2015-06-19,0.11585899999999999,-0.024937
2015-06-23,0.113191,-0.010788000000000004
2015-06-24,0.08465500000000001,-0.002500000000000003
2015-06-25,0.07034,0.0010639999999999972
2015-06-26,0.054613,0.0009359999999999972
2015-06-29,0.039242,0.004816999999999997
2015-06-30,-0.007757,0.022303999999999997
2015-07-01,-0.034506999999999996,0.02354
2015-07-02,-0.08071,0.038676
2015-07-03,-0.130596,0.06629399999999999
2015-07-06,-0.14444800000000002,0.07735299999999999
2015-07-07,-0.228143,0.103379
2015-07-08,-0.259761,0.110372
2015-07-09,-0.253505,0.111728
2015-07-10,-0.282072,0.10750799999999999
2015-07-13,-0.300118,0.096675
2015-07-14,-0.276586,0.08196300000000001
2015-07-15,-0.24108100000000002,0.07459299999999999
2015-07-16,-0.251972,0.093355
2015-07-17,-0.24514599999999998,0.09392699999999998
2015-07-20,-0.23223,0.07595299999999999
2015-07-21,-0.203191,0.059113000000000006
2015-07-22,-0.153296,0.051898
2015-07-23,-0.140473,0.04755199999999999
2015-07-24,-0.12356,0.037566999999999996
2015-07-27,-0.11475199999999999,0.03335799999999999
2015-07-28,-0.0751,0.020316999999999995
2015-07-29,-0.081156,0.03466399999999999
2015-07-30,-0.037022,0.009417999999999992
2015-07-31,0.008291000000000007,-0.012095000000000009
2015-08-03,0.021113000000000007,-0.01818600000000001
2015-08-04,0.06120400000000001,-0.031365000000000004
2015-08-05,0.151142,-0.05749900000000001
2015-08-06,0.15867799999999999,-0.057347
2015-08-07,0.179071,-0.047674
2015-08-10,0.191828,-0.041405
2015-08-11,0.16352,-0.035513
2015-08-12,0.131276,-0.026367000000000005
2015-08-13,0.151387,-0.051968
2015-08-14,0.159236,-0.056941
2015-08-17,0.146204,-0.048168
2015-08-18,0.14603000000000002,-0.049346
2015-08-19,0.11077099999999998,-0.027160000000000004
2015-08-20,0.109833,-0.026441000000000006
2015-08-21,0.092119,-0.011689000000000005
2015-08-24,0.074407,-0.006491000000000007
2015-08-25,0.070402,-0.009600000000000008
2015-08-26,0.09223400000000001,-0.019641000000000006
2015-08-27,0.04347200000000001,0.021877999999999995
2015-08-28,0.027852000000000002,0.016088999999999992
2015-08-31,0.058429,-0.0007540000000000047
2015-09-01,0.067493,-0.016818000000000007
2015-09-02,-0.016912000000000003,0.012998999999999995
2015-09-07,-0.075043,0.028781999999999995
2015-09-08,-0.03974400000000001,0.018763999999999996
2015-09-09,-0.030144000000000008,0.019481999999999992
2015-09-10,-0.018863000000000008,0.02839999999999999
2015-09-11,-0.033218000000000004,0.02963199999999999
2015-09-14,-0.020155000000000006,0.02907399999999999
2015-09-15,-0.07608900000000002,0.03781699999999999
2015-09-16,-0.10270100000000001,0.05958499999999999
2015-09-17,-0.10089500000000001,0.056873
2015-09-18,-0.08306600000000001,0.043512999999999996
2015-09-21,-0.086423,0.04325899999999999
2015-09-22,-0.06918000000000002,0.03105299999999999
2015-09-23,-0.054791000000000006,0.019943999999999996
2015-09-24,-0.04579600000000002,0.021547999999999998
2015-09-25,-0.03239300000000002,0.017576999999999995
2015-09-28,-0.02169100000000001,0.00022199999999999477
2015-09-29,0.009461999999999993,0.0008929999999999949
2015-09-30,-0.004788000000000006,0.015668999999999995
2015-10-08,0.023864999999999997,0.020212999999999995
2015-10-09,0.089936,-0.0032680000000000053
2015-10-12,0.140368,-0.021774
2015-10-13,0.108712,-0.021582000000000004
2015-10-14,0.09729,-0.020800000000000006
2015-10-15,0.077493,-0.017457000000000004
2015-10-16,0.090379,-0.021982000000000005
2015-10-19,0.077772,-0.021137000000000006
2015-10-20,0.118931,-0.026125000000000006
2015-10-21,0.141104,-0.049212000000000006
2015-10-22,0.08735799999999999,-0.023178000000000008
2015-10-23,0.106824,-0.03307500000000001
2015-10-26,0.11890099999999999,-0.028344000000000008
2015-10-27,0.109341,-0.026398000000000008
2015-10-28,0.116712,-0.028266000000000006
2015-10-29,0.106318,-0.02655900000000001
2015-10-30,0.108831,-0.027100000000000006
2015-11-02,0.124259,-0.034418000000000004
2015-11-03,0.102059,-0.027827000000000008
2015-11-04,0.104174,-0.031547000000000006
2015-11-05,0.114242,-0.031695
2015-11-06,0.08975599999999999,-0.029495000000000007
2015-11-09,0.08624299999999999,-0.029119000000000006
2015-11-10,0.070057,-0.013658000000000007
2015-11-11,0.066982,-0.015558000000000006
2015-11-12,0.08460899999999999,-0.018007000000000006
2015-11-13,0.081831,-0.013992000000000006
