date,000312.OF,002236.OF,003194.OF,004195.OF,004409.OF,004744.OF,005562.OF,164304.OF,690008.OF
2015-04-30,-0.4095626238520684,,,,,,,,0.2546958543124094
2015-05-04,-0.4016533218334969,,,,,,,,0.2622018665316373
2015-05-05,-0.39694451394744057,,,,,,,,0.2576459985246234
2015-05-06,-0.38320392230476186,,,,,,,,0.22333336444205887
2015-05-07,-0.38307235422733504,,,,,,,,0.2362615763355882
2015-05-08,-0.39580257037635386,,,,,,,,0.22330169847282005
2015-05-11,-0.3956056824094324,,,,,,,,0.21931287465876562
2015-05-12,-0.3943148849370893,,,,,,,,0.23208191946147022
2015-05-13,-0.3873071536815831,,,,,,,,0.25056937920033523
2015-05-14,-0.3867967031431751,,,,,,,,0.31215696556661343
2015-05-15,-0.3988189199887162,,,,,,,,0.37954276634069295
2015-05-18,-0.39751607519880056,,,,,,,,0.3585662102568765
2015-05-19,-0.3984236133711372,,,,,,,,0.35543337951241655
2015-05-20,-0.39940689246071787,,,,,,,,0.3554093833888511
2015-05-21,-0.400427998941769,,,,,,,,0.35405402450945694
2015-05-22,-0.4046896787387194,,,,,,,,0.35916373184343686
2015-05-25,-0.4060603271234297,,,,,,,,0.3484669880698093
2015-05-26,-0.40928472349269984,,,,,,,,0.34275843059945954
2015-05-27,-0.40882215814813366,,,,,,,,0.3676402831139151
2015-05-28,-0.40628116725675684,,,,,,,,0.3745905051327655
2015-05-29,-0.4053705905887691,,,,,,,,0.37273890096312473
2015-06-01,-0.40842735517854645,,,,,,,,0.3739368293691961
2015-06-02,-0.4085799523313752,,,,,,,,0.3584623521034158
2015-06-03,-0.4005276647546394,,,,,,,,0.3617383854360584
2015-06-04,-0.39672700766528934,,,,,,,,0.33486327215926326
2015-06-05,-0.3966520741425882,,,,,,,,0.33427599081398585
2015-06-08,-0.3955625718966765,,,,,,,,0.32913374929516964
2015-06-09,-0.3937608041182819,,,,,,,,0.2961987812825281
2015-06-10,-0.3890705158631521,,,,,,,,0.2873079547782885
2015-06-11,-0.3837529970019377,,,,,,,,0.26658557940530403
2015-06-12,-0.3837908099109343,,,,,,,,0.2661983072003567
2015-06-15,-0.38360407911178973,,,,,,,,0.26809927218640855
2015-06-16,-0.36997441021295463,,,,,,,,0.21888025370091838
2015-06-17,-0.3699361526805528,,,,,,,,0.21018552810173813
2015-06-18,-0.36981283501567136,,,,,,,,0.14705573204165395
2015-06-19,-0.3766441228028426,,,,,,,,0.15866463803990577
2015-06-23,-0.3694374313143714,,,,,,,,0.1344803000685918
2015-06-24,-0.3814968204048962,,,,,,,,0.17581710023365388
2015-06-25,-0.38181466208391096,,,,,,,,0.1661757955483064
2015-06-26,-0.3832055563890346,,,,,,,,0.1537168352429099
2015-06-29,-0.3712207301012109,,,,,,,,0.14495486823575057
2015-06-30,-0.37398105010418037,,,,,,,,0.1601255598235628
2015-07-01,-0.3826882765862294,,,,,,,,0.16073207900747702
2015-07-02,-0.3851289698252567,,,,,,,,0.16081641932071086
2015-07-03,-0.38690457533570405,,,,,,,,0.1706980696327417
2015-07-06,-0.3910939010702788,,,,,,,,0.16497486958448726
2015-07-07,-0.380461899090651,,,,,,,,0.16157353406730315
2015-07-08,-0.3994512996763133,,,,,,,,0.11821943864245144
2015-07-09,-0.3850748783167731,,,,,,,,0.20447153390783174
2015-07-10,-0.382571301758308,,,,,,,,0.2173962754975278
2015-07-13,-0.3860582065417629,,,,,,,,0.22586921670333368
2015-07-14,-0.3842217107746437,,,,,,,,0.1508902599668041
2015-07-15,-0.3825070369588382,,,,,,,,0.15227207813051388
2015-07-16,-0.382441975947607,,,,,,,,0.150767072762126
2015-07-17,-0.3860959609220772,,,,,,,,0.15022972143983737
2015-07-20,-0.38597804767750155,,,,,,,,0.148506464018391
2015-07-21,-0.3858923758191524,,,,,,,,0.14902371194620836
2015-07-22,-0.385095629646751,,,,,,,,0.1498785927204994
2015-07-23,-0.38197260006457834,,,,,,,,0.14820519966850024
2015-07-24,-0.3744333715004596,,,,,,,,0.12214136642618299
2015-07-27,-0.37215174954848423,,,,,,,,0.12443710808836313
2015-07-28,-0.37434469964269074,,,,,,,,0.15094120618982387
2015-07-29,-0.37191555186981806,,,,,,,,0.1640745544897764
2015-07-30,-0.37339340423043,,,,,,,,0.15838107262946013
2015-07-31,-0.38113726086199423,,,,,,,,0.14880960717043326
2015-08-03,-0.3701221253274603,,,,,,,,0.1206062380055044
2015-08-04,-0.3643798188557431,,,,,,,,0.10738931289988554
2015-08-05,-0.36358629808371695,,,,,,,,0.09117421195940731
2015-08-06,-0.3636883109111316,,,,,,,,0.09755015115826256
2015-08-07,-0.3689511352031794,,,,,,,,0.08688243077332938
2015-08-10,-0.36868396455072766,,,,,,,,0.07350218026446684
2015-08-11,-0.3727938296631173,,,,,,,,0.10965999401387107
2015-08-12,-0.3714676813794838,,,,,,,,0.11061066446213959
2015-08-13,-0.37003077390183403,,,,,,,,0.10719905976494609
2015-08-14,-0.36939899788117003,,,,,,,,0.09233091406294057
2015-08-17,-0.3793304666875507,,,,,,,,0.11547048628516302
2015-08-18,-0.37898588762755403,,,,,,,,0.11537632843476252
2015-08-19,-0.37877295556335455,,,,,,,,0.11680329985397746
2015-08-20,-0.37820397028444225,,,,,,,,0.12763840906598375
2015-08-21,-0.3708959715903557,,,,,,,,0.11095145057661142
2015-08-24,-0.37223165679622744,,,,,,,,0.11201185804018701
2015-08-25,-0.3753518318590908,,,,,,,,0.1404733391266718
2015-08-26,-0.3694747552849582,,,,,,,,0.037390123432692934
2015-08-27,-0.3781074145510217,,,,,,,,0.04042141993945406
2015-08-28,-0.38059807140913604,,,,,,,,0.033303332169623355
2015-08-31,-0.37785691622758427,,,,,,,,0.04970132873971855
2015-09-01,-0.3743104597905067,,,,,,,,0.04424852177324455
2015-09-02,-0.3747362287388241,,,,,,,,0.03583763684754694
2015-09-07,-0.34795438356518416,,,,,,,,0.110105952496176
2015-09-08,-0.34479589850197023,,,,,,,,0.11262037764797081
2015-09-09,-0.34510509263587263,,,,,,,,0.11248870385820128
2015-09-10,-0.33503325997845906,,,,,,,,0.1291865210912721
2015-09-11,-0.3358954991240351,,,,,,,0.6287218998811738,0.12523753950078204
2015-09-14,-0.3102482151844464,,,,,,,0.636021745247198,0.10771992253674958
