instrument_id,target_weight
000312.OF,0.0
000602.OF,0.4847626977625731
002236.OF,0.0
003194.OF,0.0
003377.OF,0.5152373022374269
004195.OF,0.0
004253.OF,0.0
004409.OF,0.0
004744.OF,0.0
005562.OF,0.0
164304.OF,0.0
690008.OF,0.0
