date,r_log_daily,sigma_ann,T
2015/5/4,,,
2015/5/5,-0.040983151,,
2015/5/6,-0.022429912,,
2015/5/7,-0.029674677,,
2015/5/8,0.029049993,,
2015/5/11,0.031905328,,
2015/5/12,0.011184387,,
2015/5/13,-0.000666157,,
2015/5/14,0.005110136,,
2015/5/15,-0.016699672,,
2015/5/18,0.002427565,,
2015/5/19,0.031544018,,
2015/5/20,0.009622727,,
2015/5/21,0.024131631,,
2015/5/22,0.02516735,,
2015/5/25,0.03170186,,
2015/5/26,0.023219431,,
2015/5/27,0.007828034,,
2015/5/28,-0.06351975,,
2015/5/29,0.003724081,,
2015/6/1,0.052850218,0.45260586,
2015/6/2,0.027269812,0.422958303,
2015/6/3,0.004264701,0.406797303,
2015/6/4,0.009801956,0.378189305,
2015/6/5,0.017988182,0.373779982,
2015/6/8,0.018137747,0.367163964,
2015/6/9,-0.002320049,0.370313814,
2015/6/10,0.004694515,0.368639836,
2015/6/11,0.010999483,0.368016424,
2015/6/12,0.018936201,0.353721507,
2015/6/15,-0.009517588,0.360891263,
2015/6/16,-0.035932704,0.391425053,
2015/6/17,0.017201421,0.392520106,
2015/6/18,-0.028502629,0.41026157,
2015/6/19,-0.068759976,0.483179945,
2015/6/23,0.011527026,0.471908606,
2015/6/24,0.02913771,0.47605478,
2015/6/25,-0.031522684,0.489198154,
2015/6/26,-0.077663749,0.515182794,
2015/6/29,-0.040341993,0.532831088,
2015/6/30,0.048149709,0.526450651,
2015/7/1,-0.067319551,0.558453253,
2015/7/2,-0.050922097,0.575744571,
2015/7/3,-0.073917113,0.610660256,
2015/7/6,-0.000531699,0.600647401,
2015/7/7,-0.033509076,0.589099056,
2015/7/8,-0.059139306,0.602135468,
2015/7/9,0.056151053,0.657386182,
2015/7/10,0.048844387,0.69324871,
2015/7/13,0.036209039,0.707808783,
2015/7/14,0.003988067,0.711195809,
2015/7/15,-0.034793474,0.710780361,
2015/7/16,0.012692439,0.708180348,
2015/7/17,0.044819497,0.738216285,
2015/7/20,0.013262003,0.712030147,
2015/7/21,0.009651215,0.711370151,
2015/7/22,0.004675503,0.699478214,
2015/7/23,0.028700503,0.707024689,
2015/7/24,-0.01697579,0.657121553,
2015/7/27,-0.090563764,0.715995257,-2531.264441
2015/7/28,-0.021244187,0.688185421,-2778.667067
2015/7/29,0.042259039,0.675882347,-2889.293047
2015/7/30,-0.024332284,0.657755233,-3000.078753
2015/7/31,-0.010412024,0.602881828,-3244.1612
2015/8/3,-0.018370816,0.606595883,-3196.862831
2015/8/4,0.046445511,0.615057158,-3046.145346
2015/8/5,-0.01242354,0.572760834,-3098.973827
2015/8/6,-0.004745725,0.541898672,-3160.163984
2015/8/7,0.025696169,0.521713093,-3197.909325
2015/8/10,0.047077488,0.532554327,-3062.061624
2015/8/11,0.003642834,0.532540967,-2992.123482
2015/8/12,-0.011431411,0.517222115,-2959.21608
2015/8/13,0.022048626,0.520502352,-2811.208556
2015/8/14,0.006837937,0.497856874,-2845.899909
2015/8/17,0.01642308,0.498931418,-2736.164632
2015/8/18,-0.069510792,0.558691344,-2406.634744
2015/8/19,0.018116378,0.562782981,-2332.206571
2015/8/20,-0.030696595,0.560503636,-2342.670502
2015/8/21,-0.052791739,0.585279956,-2292.622792
2015/8/24,-0.093424363,0.590830102,-2276.895104
2015/8/25,-0.086925877,0.655686399,-2063.181681
