instrument_id,target_weight
000312.OF,0.01716434362414654
000602.OF,0.2376238263321706
002236.OF,0.0
003194.OF,0.43041091470086756
003377.OF,0.26538842271421625
004195.OF,0.0
004253.OF,0.0
004409.OF,0.0
004744.OF,0.0
005562.OF,0.04941249262859899
164304.OF,0.0
690008.OF,0.0
