date,000312.OF,002236.OF,003194.OF,004195.OF,004409.OF,004744.OF,005562.OF,164304.OF,690008.OF,,-0.325910697,0.463554316
2015/9/28,0.013278112,,,,,,,0.167760511,-0.550460988,,,
2015/9/29,0.011640981,,,,,,,0.174890196,-0.540747738,,,
2015/9/30,0.017072596,,,,,,,0.170113261,-0.534916716,,,
2015/10/8,0.018277832,,,,,,,0.142439785,-0.527093965,,,
2015/10/9,0.020066479,,,,,,,0.129390784,-0.522320022,,,
2015/10/12,0.01975793,,,,,,,0.138409415,-0.516693857,,,
2015/10/13,0.019504065,,,,,,,0.134495055,-0.519318055,,,
2015/10/14,0.022169343,,,,,,,0.117587041,-0.538721988,,,
2015/10/15,0.025840898,,,,,,,0.084694702,-0.558737578,,,
2015/10/16,0.025922028,,,,,,,0.078575172,-0.558332918,,,
2015/10/19,0.023104734,,,,,,,0.123571393,-0.553292823,,,
2015/10/20,0.035193931,,,,,,,0.107282472,-0.535731364,,,
2015/10/21,0.06755329,,,,,,,0.203340176,-0.489333153,,,
2015/10/22,0.073333196,,,,,,,0.2342052,-0.497454381,,,
2015/10/23,0.094872892,,,,,,,0.236371497,-0.454772277,,,
2015/10/26,0.098229154,,,,,,,0.042914776,-0.412211705,,,
2015/10/27,0.10387643,,,,,,,0.085068617,-0.409103217,,,
2015/10/28,0.104720478,,,,,,,0.080866221,-0.410726445,,,
2015/10/29,0.104202305,,,,,,,0.084083868,-0.408779872,,,
2015/10/30,0.106730524,,,,,,,0.096508049,-0.42349097,,,
2015/11/2,0.106806219,,,,,,,0.09551043,-0.423422734,,,
2015/11/3,0.108944862,,,,,,,0.100637138,-0.440869182,,,
2015/11/4,0.101790572,,,,,,,0.045088637,-0.454412298,,,
2015/11/5,0.062580687,,,,,,,0.039773045,-0.405781263,,,
2015/11/6,0.0702419,,,,,,,0.017138714,-0.401273998,,,
2015/11/9,0.024418115,,,,,,,0.105597927,-0.376282925,,,
2015/11/10,0.005069172,,,,,,,0.063673075,-0.586430195,,,
2015/11/11,0.002502159,,,,,,,0.065737174,-0.605892295,,,
2015/11/12,0.002272296,,,,,,,0.070047216,-0.599044566,,,
2015/11/13,0.005749007,,,,,,,0.077976625,-0.561687295,,,
2015/11/16,0.005055749,,,,,,,0.074650417,-0.540485528,,,
2015/11/17,-0.000664405,,,,,,,0.080607752,-0.538312168,,,
2015/11/18,-0.003352471,,,,,,,0.082223133,-0.540716162,,,
2015/11/19,-0.025695441,,,,,,,0.071136838,-0.544294752,,,
2015/11/20,-0.023718347,,,,,,,0.080900459,-0.545628687,,,
2015/11/23,-0.049018368,,,,,,,0.081880872,-0.488135246,,,
2015/11/24,-0.058507965,,,,,,,0.094920517,-0.466872312,,,
2015/11/25,-0.058185697,,,,,,,0.095031689,-0.464164966,,,
2015/11/26,-0.058463228,,,,,,,0.035961719,-0.577451509,,,
2015/11/27,-0.032156413,,,,,,,0.045316984,-0.586478122,,,
2015/11/30,-0.042175467,,,,,,,0.006981086,-0.663992952,,,
2015/12/1,-0.052473573,,,,,,,0.041013288,-0.614265022,,,
2015/12/2,-0.052701361,,,,,,,0.031602675,-0.614161071,,,
2015/12/3,-0.080131936,,,,,,,0.033907643,-0.595077426,,,
2015/12/4,-0.091966148,,,,,,,0.063339723,-0.583335367,,,
2015/12/7,-0.095148919,,,,,,,0.064003342,-0.578151645,,,
2015/12/8,-0.090245673,,,,,,,0.061539727,-0.575437331,,,
2015/12/9,-0.090274938,,,,,,,0.059358037,-0.574336414,,,
2015/12/10,-0.095446748,,,,,,,0.019788902,-0.577058311,,,
2015/12/11,-0.092961389,,,,,,,0.027310868,-0.613389199,,,
2015/12/14,-0.099267824,,,,,,,0.05957822,-0.591750313,,,
2015/12/15,-0.11349802,,,,,,,0.025696842,-0.640652566,,,
2015/12/16,-0.108742682,,,,,,,0.047417133,-0.609168112,,,
2015/12/17,-0.110362015,,,,,,,0.040895846,-0.636736352,,,
2015/12/18,-0.110590937,,,,,,,0.041386163,-0.635183094,,,
2015/12/21,-0.109828064,,,,,,,0.042194094,-0.629195499,,,
2015/12/22,-0.11000747,,,,,,,-0.017220823,-0.661452755,,,
2015/12/23,-0.106066088,,,,,,,0.026419616,-0.676841632,,,
2015/12/24,-0.108605452,,,,,,,0.01875618,-0.660722359,,,
2015/12/25,-0.108575439,,,,,,,0.01727635,-0.660158172,,,
2015/12/28,-0.112176805,,,,,,,0.006525544,-0.659894614,,,
2015/12/29,-0.120958981,,,,,,,-0.018382683,-0.664964526,,,
2015/12/30,-0.120967954,,,,,,,-0.015997568,-0.665881229,,,
2015/12/31,-0.12861968,,,,,,,-0.040024639,-0.667059322,,,
2016/1/4,-0.129215714,,,,,,,-0.04097371,-0.667329,,,
2016/1/5,-0.129367709,,,,,,,-0.047424985,-0.657963271,,,
2016/1/6,-0.128819077,,,,,,,-0.093610099,-0.617735403,,,
2016/1/7,-0.122308479,,,,,,,-0.085230066,-0.627962314,,,
2016/1/8,-0.117389774,,,,,,,-0.078594434,-0.629881969,,,
2016/1/11,-0.090568809,,,,,,,-0.059231922,-0.613633682,,,
2016/1/12,-0.096766631,,,,,,,-0.050827502,-0.630275979,,,
2016/1/13,-0.092351256,,,,,,,-0.125727592,-0.618479885,,,
2016/1/14,-0.095369669,,,,,,,-0.125735802,-0.618692736,,,
2016/1/15,-0.094007195,,,,,,,-0.125231862,-0.619030986,,,
2016/1/18,-0.095913767,,,,,,,-0.093307308,-0.600604812,,,
2016/1/19,-0.088263056,,,,,,,-0.113317047,-0.595113312,,,
2016/1/20,-0.074612439,,,,,,,-0.09309435,-0.581821685,,,
2016/1/21,-0.080145936,,,,,,,-0.191409417,-0.54915295,,,
2016/1/22,-0.061636397,,,,,,,-0.216680456,-0.551666921,,,
2016/1/25,-0.059872547,,,,,,,-0.2167481,-0.550924804,,,
2016/1/26,-0.064411798,,,,,,,-0.216880501,-0.550550281,,,
2016/1/27,-0.069716081,,,,,,,-0.230132961,-0.537282931,,,
2016/1/28,-0.063280291,,,,,,,-0.153423072,-0.582633817,,,
2016/1/29,-0.073025937,,,,,,,-0.182320373,-0.543670478,,,
2016/2/1,-0.077930138,,,,,,,-0.179098215,-0.53681871,,,
2016/2/2,-0.077141187,,,,,,,-0.184165299,-0.533745499,,,
2016/2/3,-0.077352554,,,,,,,-0.178315431,-0.533874628,,,
2016/2/4,-0.078234223,,,,,,,-0.180888551,-0.554134707,,,
2016/2/5,-0.083357486,,,,,,,-0.178485595,-0.553979799,,,
2016/2/15,-0.085556126,,,,,,,-0.208443548,-0.59292413,,,
2016/2/16,-0.088045451,,,,,,,-0.210963864,-0.628832256,,,
2016/2/17,-0.103381369,,,,,,,-0.192834165,-0.604416227,,,
2016/2/18,-0.095995133,,,,,,,-0.201129555,-0.589797887,,,
2016/2/19,-0.095826086,,,,,,,-0.20112815,-0.590194279,,,
2016/2/22,-0.095609188,,,,,,,-0.19934612,-0.603158017,,,
2016/2/23,-0.105911357,,,,,,,-0.261113095,-0.545596017,,,
2016/2/24,-0.113351786,,,,,,,-0.253113361,-0.408408475,,,
2016/2/25,-0.118660925,,,,,,,-0.214224713,-0.347368197,,,
2016/2/26,-0.116321559,,,,,,,-0.201137096,-0.31386072,,,
2016/2/29,-0.116349821,,,,,,,-0.22386713,-0.310611684,,,
2016/3/1,-0.106229173,,,,,,,-0.245515424,-0.263709908,,,
2016/3/2,-0.106219001,,,,,,,-0.247597724,-0.252193635,,,
2016/3/3,-0.10520411,,,,,,,-0.253782252,-0.250385538,,,
2016/3/4,-0.095012605,,,,,,,-0.256785694,-0.25210022,,,
2016/3/7,-0.082755727,,,,,,,-0.25626535,-0.261550434,,,
2016/3/8,-0.081258571,,,,,,,-0.271739656,-0.339816809,,,
