rebalance_date,instrument_id,target_weight,bucket
2020-03-06,000312.OF,0.0,VALUE
2020-03-06,000602.OF,0.08044442817222563,CASH
2020-03-06,002236.OF,0.0,GROWTH
2020-03-06,003194.OF,0.0,VALUE
2020-03-06,003377.OF,0.9195555718277744,RATE
2020-03-06,004195.OF,0.0,CYCLE
2020-03-06,004253.OF,0.0,GOLD
2020-03-06,004409.OF,0.0,GROWTH
2020-03-06,004744.OF,0.0,GROWTH
2020-03-06,005562.OF,0.0,VALUE
2020-03-06,164304.OF,0.0,CYCLE
2020-03-06,690008.OF,0.0,CYCLE
